flight,sector,eto_hour,eto_minute,eto_second
573,uttup,08,45,00,
573,uttu,09,03,00,
574,ugw,08,46,00,
575,ufxf,08,46,00,
576,uh,08,46,00,
576,ufxf,08,52,00,
577,pv,08,47,00,
577,ugw,08,59,00,
577,ua,09,20,00,
578,ufxf,08,47,00,
578,uh,08,54,00,
579,ua,08,48,00,
579,uaus,08,48,00,
580,ugw,08,48,00,
580,uttup,09,10,00,
580,uttu,09,10,00,
581,uttup,08,49,00,
581,uttu,08,49,00,
582,uh,08,50,00,
583,ua,08,51,00,
583,uaus,08,51,00,
583,ugw,09,01,00,
583,uttup,09,13,00,
583,uttu,09,13,00,
584,ugw,08,51,00,
585,uttup,08,51,00,
585,uttu,09,08,00,
586,ufxf,08,51,00,
587,ufxf,08,52,00,
588,ufxf,08,53,00,
589,uttup,08,53,00,
589,uttu,09,07,00,
590,ua,08,54,00,
590,uaus,08,54,00,
591,ufxf,08,55,00,
591,uh,09,07,00,
592,ugw,08,55,00,
593,ugw,08,55,00,
594,uttup,08,56,00,
594,uttu,08,56,00,
595,ufxf,08,56,00,
595,uh,09,02,00,
596,uh,08,56,00,
597,pv,08,57,00,
597,ugw,09,13,00,
598,pv,08,57,00,
599,ugw,08,58,00,
599,uttup,09,25,00,
599,uttu,09,25,00,
600,ua,08,58,00,
600,uaus,08,58,00,
601,pv,08,59,00,
601,ugw,09,13,00,
602,uh,08,59,00,
602,ufxf,09,05,00,
603,ufxf,09,00,00,
604,ufxf,09,00,00,
604,uh,09,06,00,
605,pv,09,01,00,
605,ugw,09,16,00,
605,ua,09,37,00,
606,uh,09,01,00,
607,ugw,09,02,00,
608,uttup,09,05,00,
608,uttu,09,05,00,
609,ufxf,09,06,00,
609,uh,09,15,00,
610,ua,09,07,00,
611,ugw,09,07,00,
611,uttup,09,28,00,
611,uttu,09,28,00,
612,ua,09,07,00,
613,pv,09,07,00,
613,ugw,09,22,00,
614,ugw,09,08,00,
614,uttup,09,31,00,
614,uttu,09,31,00,
615,ugw,09,09,00,
616,ufxf,09,10,00,
616,uh,09,22,00,
617,pv,09,11,00,
617,ugw,09,25,00,
617,ua,09,47,00,
618,ugw,09,11,00,
618,uttup,09,32,00,
618,uttu,09,32,00,
619,ua,09,12,00,
619,ugw,09,21,00,
620,pv,09,12,00,
620,ugw,09,22,00,
620,ua,09,42,00,
621,ua,09,13,00,
622,ufxf,09,13,00,
622,uh,09,24,00,
623,uttup,09,14,00,
623,uttu,09,14,00,
624,ufxf,09,15,00,
624,uh,09,27,00,
625,uttup,09,15,00,
625,uttu,09,15,00,
626,ufxf,09,15,00,
626,uh,09,27,00,
627,ua,09,16,00,
628,ugw,09,16,00,
629,ufxf,09,19,00,
629,uh,09,32,00,
630,uh,09,19,00,
631,ugw,09,19,00,
631,uttup,09,42,00,
631,uttu,09,42,00,
632,ugw,09,20,00,
632,ua,09,38,00,
633,uh,09,21,00,
633,ufxf,09,29,00,
634,ua,09,21,00,
634,ugw,09,33,00,
634,uttup,09,43,00,
634,uttu,09,43,00,
635,uh,09,22,00,
636,ugw,09,23,00,
636,uttup,09,28,00,
636,uttu,09,28,00,
637,pv,09,23,00,
638,ufxf,09,23,00,
638,uttup,09,38,00,
638,uttu,09,38,00,
639,pv,09,24,00,
639,ugw,09,40,00,
639,ua,10,02,00,
640,ugw,09,24,00,
641,uttup,09,24,00,
641,uttu,09,24,00,
642,ua,09,25,00,
643,pv,09,25,00,
644,ufxf,09,26,00,
645,ufxf,09,26,00,
645,uh,09,38,00,
646,uttup,09,26,00,
646,uttu,09,26,00,
647,ufxf,09,28,00,
647,uh,09,33,00,
648,uttup,09,28,00,
648,uttu,09,28,00,
649,ugw,09,29,00,
650,ugw,09,29,00,
651,ua,09,29,00,
652,ufxf,09,30,00,
653,uh,09,30,00,
654,ua,09,30,00,
655,pv,09,31,00,
656,pv,09,31,00,
657,pv,09,32,00,
657,ugw,09,41,00,
658,ugw,09,32,00,
658,uttup,09,53,00,
658,uttu,09,53,00,
659,pv,09,32,00,
660,uttup,09,34,00,
660,uttu,09,34,00,
661,ugw,09,34,00,
661,uttup,09,53,00,
661,uttu,09,53,00,
662,pv,09,36,00,
663,uh,09,36,00,
663,ufxf,09,44,00,
664,pv,09,36,00,
665,uttup,09,37,00,
665,uttu,09,37,00,
666,ua,09,37,00,
667,ua,09,37,00,
667,ugw,09,40,00,
668,uttup,09,38,00,
668,uttu,09,38,00,
669,ugw,09,38,00,
669,uttu,10,03,00,
670,ufxf,09,38,00,
670,uh,09,43,00,
671,pv,09,40,00,
671,ugw,09,56,00,
671,ua,10,18,00,
672,ugw,09,40,00,
673,uttup,09,42,00,
673,uttu,09,42,00,
674,ufxf,09,42,00,
674,uh,09,47,00,
675,uttup,09,43,00,
675,uttu,09,43,00,
676,pv,09,43,00,
677,pv,09,44,00,
677,ugw,10,04,00,
678,pv,09,45,00,
678,ugw,09,54,00,
679,ua,09,46,00,
680,pv,09,46,00,
680,ugw,10,02,00,
681,pv,09,46,00,
681,ugw,10,00,00,
682,ua,09,47,00,
682,uh,10,14,00,
683,uh,09,47,00,
683,ufxf,09,59,00,
684,ua,09,47,00,
684,uh,10,13,00,
685,ugw,09,47,00,
685,uttu,10,11,00,
686,ugw,09,47,00,
686,uttu,10,09,00,
687,ufxf,09,48,00,
687,uh,10,03,00,
688,uttup,09,48,00,
688,uttu,09,48,00,
689,uh,09,49,00,
690,uttup,09,49,00,
690,uttu,09,49,00,
691,ufxf,09,50,00,
691,uh,10,01,00,
692,uttup,09,50,00,
692,uttu,09,50,00,
693,uttup,09,51,00,
693,uttu,09,51,00,
694,pv,09,52,00,
694,ugw,10,09,00,
694,ua,10,31,00,
695,uh,09,52,00,
696,uttup,09,53,00,
696,uttu,09,53,00,
697,ugw,09,53,00,
698,ua,09,53,00,
698,uh,10,23,00,
699,ufxf,09,53,00,
699,uh,10,08,00,
700,ugw,09,53,00,
701,uttup,09,55,00,
701,uttu,09,55,00,
702,pv,09,56,00,
703,ua,09,58,00,
703,ugw,10,09,00,
703,uttu,10,20,00,
704,ugw,09,58,00,
705,uh,09,58,00,
705,ua,10,21,00,
706,uh,09,59,00,
706,ufxf,10,06,00,
707,uh,09,59,00,
707,ua,10,22,00,
708,uh,09,59,00,
708,ufxf,10,06,00,
709,ufxf,10,00,00,
709,uh,10,12,00,
710,ugw,10,00,00,
710,uh,10,30,00,
711,ugw,10,00,00,
711,uh,10,30,00,
712,uttu,10,01,00,
713,uh,10,01,00,
713,ua,10,24,00,
714,uh,10,01,00,
714,ufxf,10,13,00,
715,ua,10,02,00,
716,ua,10,04,00,
717,ua,10,05,00,
717,uh,10,32,00,
718,ufxf,10,06,00,
719,ua,10,07,00,
720,ugw,10,07,00,
720,uttu,10,29,00,
721,uh,10,08,00,
721,ufxf,10,18,00,
722,ugw,10,09,00,
723,ufxf,10,10,00,
723,uh,10,22,00,
724,ua,10,10,00,
724,uh,10,36,00,
725,uttu,10,12,00,
726,ugw,10,12,00,
726,uttu,10,36,00,
727,uttu,10,12,00,
728,ua,10,13,00,
729,ugw,10,15,00,
729,ua,10,19,00,
730,ufxf,10,16,00,
731,ufxf,10,16,00,
731,uh,10,29,00,
732,uttu,10,17,00,
733,ugw,10,18,00,
734,ua,10,18,00,
734,ugw,10,29,00,
734,uttu,10,40,00,
735,ugw,10,18,00,
735,uttu,10,39,00,
736,ugw,10,18,00,
737,ugw,10,18,00,
737,uttu,10,41,00,
738,ugw,10,19,00,
738,uttu,10,43,00,
739,ua,10,19,00,
739,ugw,10,31,00,
739,uttu,10,43,00,
740,uttu,10,19,00,
741,uttu,10,20,00,
742,ua,10,21,00,
743,ua,10,21,00,
744,ugw,10,22,00,
745,ua,10,22,00,
746,ugw,10,22,00,
746,ua,10,42,00,
747,ugw,10,23,00,
747,ua,10,43,00,
748,ugw,10,24,00,
748,uttu,10,45,00,
749,uttu,10,24,00,
750,uh,10,24,00,
751,ugw,10,24,00,
752,ua,10,25,00,
753,uh,10,25,00,
754,uttu,10,27,00,
755,uttu,10,27,00,
756,ugw,10,27,00,
757,ugw,10,28,00,
758,ugw,10,28,00,
759,ua,10,29,00,
759,ugw,10,42,00,
759,uttu,10,55,00,
760,uh,10,30,00,
761,uttu,10,30,00,
762,uh,10,32,00,
763,uh,10,32,00,
764,uh,10,33,00,
765,uh,10,35,00,
766,uttu,10,35,00,
766,ugw,10,45,00,
767,uttu,10,35,00,
768,ua,10,35,00,
768,ugw,10,44,00,
769,ua,10,36,00,
769,ugw,10,46,00,
769,uttu,10,58,00,
770,ugw,10,37,00,
770,uttu,10,58,00,
771,ua,10,37,00,
771,ugw,10,49,00,
772,ugw,10,38,00,
773,ua,10,39,00,
773,uh,11,07,00,
774,ua,10,39,00,
774,uh,11,10,00,
775,uh,10,39,00,
776,ugw,10,39,00,
776,ua,11,05,00,
777,ua,10,40,00,
778,ugw,10,43,00,
779,ugw,10,43,00,
779,ua,11,04,00,
780,uttu,10,43,00,
781,ugw,10,43,00,
781,ua,11,06,00,
782,ugw,10,43,00,
783,ua,10,43,00,
783,ugw,10,53,00,
784,ugw,10,44,00,
784,ua,11,05,00,
785,ua,10,44,00,
785,ugw,10,54,00,
786,uh,10,45,00,
787,ua,10,46,00,
787,uh,11,16,00,
788,uttu,10,47,00,
789,ugw,10,48,00,
790,ugw,10,49,00,
791,uttu,10,50,00,
792,uttu,10,51,00,
793,ugw,10,51,00,
793,ua,11,15,00,
794,ugw,10,51,00,
795,ua,10,52,00,
796,ua,10,52,00,
797,uttu,10,53,00,
798,ugw,10,53,00,
798,ua,11,00,00,
799,uh,10,53,00,
800,ua,10,54,00,
801,uh,10,55,00,
802,uh,10,55,00,
803,ua,10,56,00,
804,ua,10,56,00,
805,ugw,10,56,00,
806,uh,10,57,00,
807,ua,10,58,00,
808,uttu,10,59,00,
809,uh,10,59,00,
810,ua,10,59,00,
810,uh,11,27,00,
811,ua,10,59,00,
812,ugw,10,59,00,
813,uh,10,59,00,
814,ua,11,01,00,
815,uh,11,02,00,
816,ua,11,02,00,
817,ua,11,03,00,
818,ua,11,04,00,
819,ua,11,06,00,
820,uh,11,11,00,
821,uh,11,12,00,
822,ua,11,12,00,
823,ua,11,13,00,
824,ua,11,17,00,
825,ua,11,17,00,
826,ua,11,20,00,
827,ua,11,21,00,
828,ua,11,22,00,
829,ua,11,23,00,
830,ua,11,24,00,
831,uh,11,25,00,
832,uh,11,25,00,
833,ua,11,26,00,
834,uh,11,27,00,
835,ua,11,28,00,
836,ua,11,28,00,
837,ua,11,30,00,
838,uh,11,31,00,
839,ua,11,33,00,
840,uh,11,33,00,
841,ua,11,34,00,
841,uh,12,05,00,
842,uh,11,34,00,
843,uh,11,35,00,
844,uh,11,35,00,
845,uh,11,36,00,
846,ua,11,38,00,
847,ua,11,38,00,
848,ua,11,39,00,
849,ua,11,39,00,
849,uh,12,07,00,
850,uh,11,39,00,
851,uh,11,42,00,
852,ua,11,42,00,
853,ua,11,43,00,
854,ua,11,43,00,
855,ua,11,44,00,
856,ua,11,46,00,
857,ua,11,46,00,
858,ua,11,46,00,
859,ua,11,49,00,
860,uh,11,49,00,
861,uh,11,50,00,
862,ua,11,50,00,
863,uh,11,51,00,
864,ua,11,52,00,
865,ua,11,52,00,
866,ua,11,53,00,
867,uh,11,53,00,
868,ua,11,53,00,
869,uh,11,58,00,
870,uh,11,58,00,
871,uh,12,01,00,
872,uh,12,02,00,
873,ua,12,02,00,
874,ua,12,04,00,
875,ua,12,06,00,
876,uh,12,06,00,
877,ua,12,09,00,
878,uh,12,11,00,
879,uh,12,11,00,
880,uh,12,12,00,
881,uh,12,13,00,
882,uh,12,14,00,
883,uh,12,14,00,
884,ua,12,15,00,
885,uh,12,16,00,
886,uh,12,18,00,
887,ua,12,19,00,
888,ua,12,25,00,
889,ua,12,26,00,
890,ua,12,27,00,
891,uh,12,28,00,
892,ua,12,28,00,
893,uh,12,29,00,
894,uh,12,30,00,
895,ua,12,30,00,
896,uh,12,31,00,
897,uh,12,32,00,
898,ua,12,35,00,
899,ua,12,37,00,
899,ugw,13,01,00,
900,ua,12,37,00,
901,ua,12,40,00,
902,uh,12,40,00,
903,ua,12,40,00,
904,ua,12,42,00,
905,uh,12,42,00,
906,ua,12,42,00,
907,ua,12,42,00,
908,ua,12,44,00,
909,uh,12,46,00,
910,uh,12,49,00,
911,ua,12,51,00,
911,ugw,13,00,00,
912,ua,12,54,00,
913,ua,12,56,00,
914,uh,12,57,00,
915,ua,12,59,00,
915,ugw,13,12,00,
916,ugw,13,01,00,
917,ua,13,02,00,
918,ua,13,02,00,
918,ugw,13,22,00,
919,ugw,13,02,00,
919,ua,13,23,00,
920,ugw,13,03,00,
921,ugw,13,04,00,
921,ua,13,26,00,
922,ugw,13,04,00,
923,uh,13,04,00,
924,ua,13,05,00,
924,uh,13,35,00,
925,ugw,13,06,00,
926,ua,13,07,00,
927,ugw,13,08,00,
928,ugw,13,09,00,
929,ua,13,09,00,
930,ua,13,11,00,
931,ugw,13,12,00,
932,ua,13,16,00,
932,uh,13,46,00,
933,ugw,13,16,00,
934,ugw,13,17,00,
934,ua,13,38,00,
935,ugw,13,17,00,
936,ugw,13,19,00,
937,ua,13,20,00,
938,uh,13,20,00,
939,uh,13,20,00,
940,ua,13,21,00,
940,ugw,13,33,00,
941,ua,13,21,00,
942,uh,13,22,00,
943,ugw,13,22,00,
943,ua,13,43,00,
944,ugw,13,23,00,
945,uh,13,26,00,
945,ua,13,49,00,
946,ua,13,26,00,
947,ua,13,28,00,
948,uh,13,29,00,
949,ugw,13,30,00,
949,ua,13,52,00,
950,ugw,13,30,00,
951,ua,13,30,00,
952,uh,13,30,00,
952,ua,13,52,00,
953,uh,13,31,00,
954,ugw,13,31,00,
955,uh,13,31,00,
956,ugw,13,33,00,
957,uh,13,34,00,
958,ua,13,35,00,
959,ua,13,37,00,
959,ugw,13,41,00,
960,ugw,13,38,00,
961,ugw,13,39,00,
962,uh,13,41,00,
962,ua,14,04,00,
963,uh,13,43,00,
964,ugw,13,44,00,
965,uh,13,45,00,
965,ua,14,07,00,
966,ua,13,48,00,
967,uh,13,49,00,
967,ua,14,10,00,
968,ua,13,49,00,
968,ugw,13,59,00,
969,ugw,13,51,00,
970,uh,13,52,00,
971,uh,13,52,00,
972,ugw,13,52,00,
973,ua,13,53,00,
974,ugw,13,53,00,
975,ugw,13,55,00,
976,ugw,13,56,00,
976,ua,14,18,00,
977,uh,13,56,00,
978,ua,13,57,00,
978,ugw,14,07,00,
979,ugw,13,57,00,
980,ugw,13,58,00,
981,uh,14,01,00,
982,ugw,14,03,00,
983,ugw,14,04,00,
984,uh,14,04,00,
985,uh,14,05,00,
986,ua,14,06,00,
986,uh,14,36,00,
987,uh,14,06,00,
988,ugw,14,06,00,
989,uh,14,06,00,
990,uh,14,06,00,
991,ugw,14,07,00,
992,ua,14,09,00,
992,uh,14,37,00,
993,ua,14,09,00,
994,ua,14,11,00,
995,ugw,14,11,00,
996,uh,14,11,00,
997,uh,14,13,00,
998,ua,14,14,00,
998,ugw,14,27,00,
999,ugw,14,14,00,
1000,ugw,14,14,00,
1001,ugw,14,14,00,
1002,ua,14,14,00,
1002,ugw,14,23,00,
1003,uh,14,15,00,
1004,ua,14,15,00,
1004,uh,14,45,00,
1005,ugw,14,16,00,
1006,ugw,14,16,00,
1007,ua,14,16,00,
1007,ugw,14,28,00,
1008,ugw,14,17,00,
1009,ugw,14,17,00,
1010,ugw,14,17,00,
1011,ua,14,19,00,
1011,ugw,14,31,00,
1012,ua,14,21,00,
1013,uh,14,21,00,
1014,ugw,14,22,00,
1014,ua,14,43,00,
1015,ua,14,22,00,
1015,ugw,14,33,00,
1016,ugw,14,22,00,
1017,ua,14,23,00,
1018,ugw,14,25,00,
1019,uh,14,27,00,
1020,ua,14,29,00,
1020,uh,14,57,00,
1021,uh,14,29,00,
1022,ugw,14,30,00,
1022,ua,14,52,00,
1023,ugw,14,31,00,
1024,ugw,14,33,00,
1025,uh,14,34,00,
1025,ugw,14,53,00,
1026,ua,14,34,00,
1027,uh,14,36,00,
1028,ugw,14,36,00,
1029,ugw,14,36,00,
1030,ugw,14,36,00,
1031,uh,14,37,00,
1032,ugw,14,37,00,
1033,ua,14,37,00,
1034,ua,14,38,00,
1034,ugw,14,49,00,
1035,ua,14,41,00,
1036,uh,14,42,00,
1037,uh,14,42,00,
1038,ugw,14,43,00,
1039,uh,14,44,00,
1039,ua,15,05,00,
1040,ugw,14,44,00,
1041,ugw,14,45,00,
1042,ua,14,46,00,
1043,uh,14,47,00,
1044,ugw,14,47,00,
1045,ugw,14,48,00,
1045,ua,15,11,00,
1046,ua,14,49,00,
1047,ugw,14,50,00,
1048,ua,14,50,00,
1049,ua,14,51,00,
1050,uh,14,51,00,
1051,uh,14,52,00,
1052,uh,14,52,00,
1053,uh,14,52,00,
1054,ugw,14,52,00,
1055,ugw,14,52,00,
1055,ua,15,02,00,
1056,uh,14,53,00,
1057,ugw,14,53,00,
1058,ugw,14,53,00,
1059,ugw,14,54,00,
1060,ugw,14,55,00,
1060,ua,15,17,00,
1061,uh,14,55,00,
1062,ua,14,56,00,
1063,ugw,14,56,00,
1064,uh,14,57,00,
1065,uh,14,57,00,
1066,ugw,14,59,00,
1067,ua,14,59,00,
1067,ugw,15,09,00,
1068,ugw,15,00,00,
1069,ugw,15,00,00,
1070,ugw,15,02,00,
1071,ua,15,02,00,
1072,ua,15,02,00,
1073,ugw,15,03,00,
1074,ua,15,03,00,
1075,ugw,15,04,00,
1076,ugw,15,04,00,
1077,ua,15,05,00,
1077,ugw,15,15,00,
1078,ugw,15,06,00,
1079,uh,15,06,00,
1079,ugw,15,26,00,
1079,ubdx,15,48,00,
1080,ua,15,07,00,
1081,ugw,15,08,00,
1082,uh,15,09,00,
1083,uh,15,09,00,
1083,ugw,15,29,00,
1083,ua,15,38,00,
1084,uh,15,13,00,
1085,ugw,15,13,00,
1086,ugw,15,14,00,
1086,ua,15,36,00,
1087,ugw,15,14,00,
1088,ugw,15,15,00,
1089,uh,15,15,00,
1090,ua,15,15,00,
1091,uh,15,15,00,
1092,ugw,15,16,00,
1093,ua,15,17,00,
1094,ugw,15,17,00,
1095,ugw,15,19,00,
1096,ugw,15,19,00,
1097,ugw,15,21,00,
1098,uh,15,21,00,
1099,ugw,15,21,00,
1100,ua,15,21,00,
1100,ugw,15,33,00,
1101,ugw,15,22,00,
1101,ua,15,43,00,
1102,ua,15,22,00,
1102,ugw,15,25,00,
1102,ubdx,15,48,00,
1103,ugw,15,24,00,
1104,uh,15,24,00,
1105,uh,15,24,00,
1106,ugw,15,25,00,
1107,ugw,15,26,00,
1107,ua,15,50,00,
1108,uh,15,27,00,
1109,ua,15,28,00,
1110,uh,15,28,00,
1111,uh,15,29,00,
1111,ua,15,52,00,
1112,uh,15,29,00,
1113,uh,15,29,00,
1113,ua,15,50,00,
1114,uh,15,31,00,
1115,ugw,15,31,00,
1116,uh,15,32,00,
1117,ubdx,15,32,00,
1118,ubdx,15,33,00,
1119,ubdx,15,34,00,
1119,ugw,16,01,00,
1120,ubdx,15,35,00,
1121,ugw,15,36,00,
1121,ua,15,45,00,
1122,ugw,15,36,00,
1123,ubdx,15,37,00,
1124,ugw,15,38,00,
1125,ugw,15,38,00,
1126,ubdx,15,38,00,
1127,ua,15,38,00,
1127,ugw,15,48,00,
1128,ugw,15,38,00,
1128,ubdx,15,58,00,
1129,uh,15,39,00,
1129,ua,16,00,00,
1130,uh,15,39,00,
1131,uh,15,41,00,
1132,ubdx,15,41,00,
1133,ugw,15,41,00,
1134,uh,15,42,00,
1135,ugw,15,43,00,
1135,uh,16,17,00,
1136,ugw,15,43,00,
1137,ubdx,15,43,00,
1137,ugw,15,57,00,
1137,ua,16,14,00,
1138,ubdx,15,44,00,
1139,ugw,15,44,00,
1140,ugw,15,44,00,
1141,ua,15,44,00,
1142,ubdx,15,44,00,
1143,ua,15,44,00,
1143,ugw,15,54,00,
1144,ubdx,15,45,00,
1145,ua,15,46,00,
1145,uh,16,16,00,
1146,ubdx,15,46,00,
1147,ubdx,15,48,00,
1148,ugw,15,48,00,
1149,ubdx,15,49,00,
1149,pv,16,41,00,
1150,ugw,15,50,00,
1151,ugw,15,51,00,
1151,artc,16,14,00,
1152,ugw,15,52,00,
1153,ua,15,52,00,
1153,ugw,16,04,00,
1153,ubdx,16,23,00,
1154,ua,15,53,00,
1154,ugw,16,02,00,
1155,ugw,15,53,00,
1156,uh,15,53,00,
1157,ubdx,15,54,00,
1158,ubdx,15,55,00,
1159,uh,15,56,00,
1159,ua,16,19,00,
1160,uh,15,56,00,
1160,artc,16,14,00,
1161,ugw,15,56,00,
1161,ua,16,11,00,
1162,ubdx,15,56,00,
1163,ubdx,15,56,00,
1164,uh,15,57,00,
1165,uh,15,57,00,
1166,ubdx,15,57,00,
1167,ubdx,15,58,00,
1167,ugw,16,21,00,
1168,ubdx,15,58,00,
1169,ubdx,15,58,00,
1170,ubdx,15,59,00,
1171,ua,15,59,00,
1172,ubdx,15,59,00,
1173,ubdx,15,59,00,
1174,ubdx,16,00,00,
1175,uh,16,01,00,
1176,ua,16,03,00,
1177,ugw,16,03,00,
1178,artc,16,04,00,
1179,ua,16,04,00,
1179,ugw,16,17,00,
1179,artc,16,37,00,
1180,ugw,16,04,00,
1181,artc,16,04,00,
1182,ugw,16,04,00,
1183,ugw,16,04,00,
1184,ubdx,16,04,00,
1185,uh,16,04,00,
1186,ugw,16,06,00,
1187,ubdx,16,06,00,
1188,artc,16,07,00,
1188,uh,16,21,00,
1189,artc,16,08,00,
1190,ubdx,16,09,00,
1191,uh,16,09,00,
1191,ugw,16,39,00,
1191,ua,16,55,00,
1191,uaus,16,55,00,
1192,ugw,16,09,00,
1192,ubdx,16,23,00,
1193,ubdx,16,10,00,
1194,ugw,16,10,00,
1194,scmd,16,45,00,
1195,uh,16,10,00,
1196,ubdx,16,10,00,
1197,ubdx,16,10,00,
1198,ugw,16,10,00,
1198,ubdx,16,30,00,
1199,ua,16,10,00,
1199,ugw,16,25,00,
1200,artc,16,11,00,
1201,artc,16,11,00,
1201,uh,16,27,00,
1202,uh,16,12,00,
1203,pv,16,12,00,
1203,ugw,16,28,00,
1203,ua,16,50,00,
1203,uaus,16,50,00,
1204,ua,16,12,00,
1204,ugw,16,22,00,
1205,pv,16,12,00,
1205,ugw,16,22,00,
1205,ua,16,42,00,
1205,uaus,16,42,00,
1206,pv,16,13,00,
1206,ugw,16,21,00,
1206,ua,16,41,00,
1206,uaus,16,41,00,
1207,pv,16,13,00,
1207,ugw,16,29,00,
1207,scmd,16,49,00,
1208,ugw,16,15,00,
1208,tn,17,11,00,
1209,ugw,16,15,00,
1210,ubdx,16,15,00,
1211,uh,16,16,00,
1212,artc,16,16,00,
1213,ubdx,16,16,00,
1214,artc,16,16,00,
1215,uh,16,16,00,
1215,artc,16,34,00,
1216,pv,16,16,00,
1216,ugw,16,25,00,
1217,pv,16,16,00,
1217,ubdx,16,29,00,
1218,pv,16,17,00,
1218,ugw,16,33,00,
1219,ugw,16,17,00,
1220,ua,16,18,00,
1220,ugw,16,28,00,
1221,pv,16,18,00,
1222,uh,16,19,00,
1222,artc,16,31,00,
1223,ubdx,16,19,00,
1224,ubdx,16,19,00,
1225,uh,16,20,00,
1225,ua,16,42,00,
1225,uaus,16,42,00,
1225,scmd,17,00,00,
1226,ubdx,16,21,00,
1226,tn,17,20,00,
1227,ua,16,21,00,
1227,ugw,16,33,00,
1227,uttup,16,43,00,
1228,ua,16,21,00,
1229,ua,16,21,00,
1230,pv,16,22,00,
1230,ugw,16,31,00,
1231,artc,16,22,00,
1232,ugw,16,22,00,
1232,uh,17,16,00,
1233,ubdx,16,22,00,
1234,artc,16,23,00,
1235,uh,16,23,00,
1236,ubdx,16,24,00,
1237,ua,16,25,00,
1237,scmd,16,43,00,
1238,uh,16,25,00,
1239,ugw,16,26,00,
1239,scmd,16,47,00,
1240,ubdx,16,26,00,
1241,pv,16,27,00,
1241,ugw,16,39,00,
1241,ua,17,00,00,
1241,uaus,17,00,00,
1242,ubdx,16,27,00,
1243,ua,16,27,00,
1243,scmd,16,45,00,
1244,ubdx,16,27,00,
1245,pv,16,27,00,
1245,ubdx,16,45,00,
1246,artc,16,28,00,
1247,ua,16,28,00,
1247,ugw,16,39,00,
1247,uttup,16,49,00,
1248,ua,16,28,00,
1249,uh,16,29,00,
1250,pv,16,31,00,
1250,ubdx,16,41,00,
1251,ua,16,32,00,
1252,ua,16,33,00,
1252,scmd,16,51,00,
1253,ugw,16,33,00,
1254,ugw,16,33,00,
1254,uttup,16,49,00,
1255,ugw,16,34,00,
1255,uttup,16,55,00,
1255,aorc,17,01,00,
1256,ubdx,16,34,00,
1257,pv,16,34,00,
1257,ugw,16,43,00,
1257,ua,17,06,00,
1257,uaus,17,06,00,
1258,ugw,16,35,00,
1258,ubdx,17,04,00,
1259,ubdx,16,36,00,
1259,pv,16,58,00,
1259,ugw,17,04,00,
1260,pv,16,36,00,
1260,uttup,16,44,00,
1261,ubdx,16,36,00,
1262,ubdx,16,36,00,
1262,scmd,17,07,00,
1263,ubdx,16,37,00,
1264,ugw,16,37,00,
1264,uttup,17,01,00,
1264,aorc,17,07,00,
1265,ubdx,16,38,00,
1265,ugw,17,05,00,
1266,ua,16,38,00,
1267,ubdx,16,38,00,
